Cross-Reference No.,Item No.,Description,FINAL GROSS Unit Price,DOH CEILING PRICE,DISC,net of disc,FINAL NET PRICE,VAT Product Posting Group,DIVISION,Standard Cost
244000.0,IP0000171,DOXOPRO 400MG TABLET x 100's,2000.0,2000.0,600.0,1400.0,1250.0,GOODS12,BU2,357.14
606085.0,IP0000016,DUVAGEN 10MG TABLET x 100's,1450.0,0.0,435.0,1015.0,906.25,GOODS12,BU2,
309552.0,IP0000193,ELVIR 300MG CAPSULE x 50's,1500.0,1467.75,450.0,1050.0,937.5,GOODS12,BU4,223.21
802299.0,AIP000010,ENTEGARD 500MCG FCTABLET,8010.0,7980.0,2403.0,5607.0,5006.25,GOODS12,BU4,803.57
802331.0,IP0000062,ESOMEP 20MG FCTABLET x 14's,532.0,518.0,159.6,372.4,332.5,GOODS12,BU4,56.25
802279.0,IP0000003,GABATIN 100MG CAPSULE x 30's,810.0,780.0,243.0,567.0,506.25,GOODS12,BU4,99.11
802280.0,IP0000004,GABATIN 300MG CAPSULE x 30's,900.0,870.0,270.0,630.0,562.5,GOODS12,BU4,160.71
802329.0,IP0000202,INNOCAL 1080MG EXT.RELEASE TAB,401.79,401.79,120.537,281.253,281.253,EXEMPT,BU2,133.93
802330.0,IP0000258,IPA+BENZALKONIUM Cl 50mL x 6's,1080.0,1080.0,324.0,756.0,675.0,GOODS12,BU2,120.54
307612.0,AIP000018,KALIGEN 750MG SR TAB x 50's,1300.0,1300.0,390.0,910.0,812.5,GOODS12,BU1,223.21
606148.0,IP0000024,KIDDIREL DROPS x 15ML,116.0,0.0,34.8,81.2,72.5,GOODS12,GA,
606150.0,IP0000025,KIDDIREL SYRUP x 120ML,205.0,0.0,61.5,143.5,128.125,GOODS12,GA,
307611.0,IP0000189,LESOCARB 500MG CAPSULE x 42's,619.5,0.0,185.85,433.65,387.1875,GOODS12,BU1,331.88
237180.0,IP0000014,LESOFAT 120MG CAPSULE x 20's,700.0,0.0,140.0,560.0,500.0,GOODS12,BU1,437.5
237179.0,IP0000015,LESOFAT 60MG CAP x 20's,595.0,0.0,119.0,476.0,425.0,GOODS12,BU1,371.88
606151.0,IP0000018,LEVIT 1GM FCTABLET x 60's,4260.0,0.0,1278.0,2982.0,2662.5,GOODS12,BU4,
606156.0,IP0000026,LEXYL-OD 750MG FCTABLET x 21's,2864.4,0.0,859.32,2005.08,1790.25,GOODS12,BU2,
