Doctor Name,Address,PTR
CRUZ  NANETTE,PERPETUAL HELP MEDICAL CENTER,nan
CUENCA FONTINI CHRISTI,PERPETUAL HELP MEDICAL CENTER,nan
DEJAN RENATO,OLIVAREZ GENERAL HOSPITAL,nan
DELEN CHESCA,MEDICAL CENTER MUNTINLUPA,nan
DELOS REYES DEBORAH,ALABANG MEDICAL CLINIC PUTATAN,nan
DELOS REYES CHRISTOPHER,ASIAN HOSPITAL MEDICAL CENTER,nan
DESQUITADO CARIDAD,SAN JUAN DE DIOS HOSPITAL,nan
DIZON RODOLFO,PERPETUAL HELP MEDICAL CENTER,nan
DOROMAL CANDYLOU,MY HEALTH FESTIVAL,nan
ESGUERRA MARVIN,HEALTHWAY FESTIVAL,nan
EVANGELISTA MARK,OLIVAREZ GENERAL HOSPITAL,nan
EVANGELISTA CHARINA,HI PRECISION LAS PINAS,nan
FELIPE RHEY ANTHONY FELIPE,MY HEALTH FESTIVAL,nan
FORTES KAREN,PERPETUAL HELP MEDICAL CENTER,nan
FRANCISCO JOANNA,KERALTY MEDICAL CLINIC,nan
FRANCISCO IAN DENNIS,PERPETUAL HELP MEDICAL CENTER,nan
FRANCISCO PETER JAY,OLIVAREZ GENERAL HOSPITAL,nan
FUENTES FRANCISCO,ALABANG MEDICAL CLINIC PUTATAN,nan
FUNTILLA ROMEO,LAS PINAS DOCTORS HOSPITAL,nan
GARCIA SHANE,PERPETUAL HELP MEDICAL CENTER,nan
GESLANI  KATHLEEN,ALABANG MEDICAL CLINIC PUTATAN,nan
GRINO ROMEO,PERPETUAL HELP MEDICAL CENTER,nan
GUCHUICO CARLO,HEALTHWAY FESTIVAL,nan
GUMATAY ALLAN,MEDICAL CENTER PARANAQUE,nan
HERRERA LEONOR,MY HEALTH FESTIVAL,nan
HIPOLITO CARIDAD,LAS PINAS DOCTORS HOSPITAL,nan
IDOR GENER,PERPETUAL HELP MEDICAL CENTER,nan
JARCIA DAISY,ALABANG MEDICAL CLINIC MONTILLANO,nan
JUANGCO RONILO,PERPETUAL HELP MEDICAL CENTER,nan
LEE LEMUEL,OLIVAREZ GENERAL HOSPITAL,nan
LIM PONCESCA,MY HEALTH FESTIVAL,nan
LIMSON CHEERISH,HEALTHWAY FESTIVAL,nan
LO  TOM EDWARD,OLIVAREZ GENERAL HOSPITAL,nan
LOTILLA WILMER,PERPETUAL HELP MEDICAL CENTER,nan
LOUDON ANTONIO,LAS PINAS DOCTORS HOSPITAL,nan
MADARANG MARK,MADARANG MEDICAL CLINIC,nan
MAGNO HARRY AUSTIN,LAS PINAS DOCTORS HOSPITAL,nan
MAGSINO LEILA,PERPETUAL HELP MEDICAL CENTER,nan
MAJAM TRINA,PERPETUAL HELP MEDICAL CENTER,nan
MALVAR ALLAN,HEALTHWAY FESTIVAL,nan
MUTUC JASON,LAS PINAS DOCTORS HOSPITAL,nan
NAVARRO JUAN PAOLO,MY HEALTH FESTIVAL,nan
OCAMPO ROSITA,ALABANG MEDICAL CLINIC TALON,nan
OCUMA RALPHYN,MY HEALTH FESTIVAL,nan
OGBAC MARTIN,PERPETUAL HELP MEDICAL CENTER,nan
PABELICO CHRISTIE,PERPETUAL HELP MEDICAL CENTER,nan
PACHECO GENEVIEVE,PERPETUAL HELP MEDICAL CENTER,nan
PALER FLORANTE,PERPETUAL HELP MEDICAL CENTER,nan
PALOGAN MELCHOR,OLIVAREZ GENERAL HOSPITAL,nan
PAMINTUAN ANGELI,OLIVAREZ GENERAL HOSPITAL,nan
PRIETO PERCY JUN,OSPITAL NG MUNTINLUPA,nan
RED AILEEN,OLIVAREZ GENERAL HOSPITAL,nan
REGALADO MARIA TERESA,MY HEALTH FESTIVAL,nan
REYES DON,ALABANG MEDICAL CLINIC MONTILLANO,nan
REYES EUGENE,MEDICAL CENTER PARANAQUE,nan
ROLDAN KAYE,MY HEALTH FESTIVAL,nan
ROME MICHAEL,PERPETUAL HELP MEDICAL CENTER,nan
ROMERO JASON,PERPETUAL HELP MEDICAL CENTER,nan
ROZUL PILAR,PERPETUAL HELP MEDICAL CENTER,nan
RUBRICA FRANCO,LAS PINAS DOCTORS HOSPITAL,nan
SALGADO KATRINA,OLIVAREZ GENERAL HOSPITAL,nan
SALVANERA JOHN VINCENT,MY HEALTH FESTIVAL,nan
SAN VICENTE PETER JAY,OLIVAREZ GENERAL HOSPITAL,nan
SANDOVAL MAREON,PERPETUAL HELP MEDICAL CENTER,nan
SANTOS CARMEN SITA,SAN ROQUE MEDICAL CLINIC,nan
SANTOS RITA,MEDICAL CENTER MUNTINLUPA,nan
SEMBRANO NICOLE,LAS PINAS DOCTORS HOSPITAL,nan
SILVA ARIES,MEDICAL CENTER MUNTINLUPA,nan
SORIA GRACE SHEILA,LAS PINAS DOCTORS HOSPITAL,nan
SY JERRY,OLIVAREZ GENERAL HOSPITAL,nan
SY CESAR,ALABANG MEDICAL CLINIC MONTILLANO,nan
TIBAYAN CHRISTOPHER,OLIVAREZ GENERAL HOSPITAL,nan
TOJINO ANDREI,PERPETUAL HELP MEDICAL CENTER,nan
TOPACIO GRACITA,ASIAN HOSPITAL MEDICAL CENTER,nan
TORRES PAUL IVAN,PERPETUAL HELP MEDICAL CENTER,nan
TORRIJOS JENNY LYND,LAS PINAS DOCTORS HOSPITAL,nan
TURLA MA. VICTORIA,PERPETUAL HELP MEDICAL CENTER,nan
TURLA JOSE,PERPETUAL HELP MEDICAL CENTER,nan
UMALI ARIANNE,MEDICAL CENTER MUNTINLUPA,nan
URMATAM FIDEL,SAN ROQUE MEDICAL CLINIC,nan
VALENTE KATHLEEN,PERPETUAL HELP MEDICAL CENTER,nan
VILLANUEVA ALLEN,PERPETUAL HELP MEDICAL CENTER,nan
YAMAMOTO TOSHIHIKO,KOBE CLINIC FESTIVAL,nan
ABALOS MARK,Abalos Medical Clinic,nan
AFABLE LUISA,World Citi Medical Center,nan
AFRICA MA. IMELDA,Quezon Institute,nan
AGUILAR SHARMAINE,Lablife Med. And Diagnostic Center,nan
ALFEROS MA. ELLEN GRACE,FEU/Marian Medical Center,nan
ALIP MYRISSA MELINDA,UP Betterhealth Center,nan
AMBROSIO MA. DOREEN,World Citi Medical Center,nan
ANG ALEXANDER,FEU/Marian Medical Center,nan
ANG RAINNIER,World Citi Medical Center,nan
ANTOLIN MARCO POCA,Diliman Doctors Hospital,nan
AQUINO PRESCILA,Keralty Med. Clinic,nan
ARANAS ELLEN,Megacenter Diagnostic,nan
BACANI HAZEL,Camp Gen. Emillio Aguinaldo,nan
BAGAOISAN KRISTIANNE,Diliman Doctors Hospital,nan
BALILI CHARLENE,Diliman Doctors Hospital,nan
BARRIGA MACRINA,Medispecialist Medical Clinic,nan
BAUTISTA  BERNADETTE,Bautista Medical Clinic,nan
BERMUDEZ GHERALD,FEU/Marian Medical Center,nan
BINOYA NERIZA,Diliman Doctors Hospital,nan
BOCAR RANIEL JOSEPH,Lablife Med. And Diagnostic Center,nan
BORJA BEVERLY,East Ave Hi-Precision,nan
BUGAWAN CORTUNE,V.Luna Hi Precision,nan
BULATAO RIZALDY,Gen. Miguel Malvar Hospital,nan
BUNYI LOURDES,ACE Diagnostic Center,nan
CABALLERO REMEDIOS,NKTI,nan
CABALLERO ROY,Westview Specilaty Clinic,nan
CADELINA JERYLEI,Diliman Doctors Hospital,nan
CALICA CHRISTINE,Friendly Care,nan
CALLEJA APRIL,World Citi Medical Center,nan
CANDAVA JOHNEL,Clinica Caritas,nan
CAPARAS APRIL FRANCHESCA,Lung Center of the Philippines,nan
CARITATIVO MICO,FEU/Marian Medical Center,nan
CARPIO BERNARD,Keralty Med. Clinic,nan
CASTANEDA ALMINA DENISE,EAST Ave. Medical Center,nan
CASTILLO RHANDY,Lung Center of the Philippines,nan
CASTILLO  MARCO,Diliman Doctors Hospital,nan
CATINDIG ELIZABETH,Quezon Institute,nan
CAYETANO KARLO,COA,nan
CEBALLOS HECTOR JAMES,EAST Ave. Medical Center,nan
CHAN POLLY CHUA,FEU/Marian Medical Center,nan
CHIONG  VANESSA ALIANA,World Citi Medical Center,nan
CHUA ARNEL,NKTI,nan
CHUA ANNETTE,Medicard,nan
CHUA RONALD,EAST Ave. Medical Center,nan
CIMACIO MA. DERYLNE,Bautista Medical Clinic,nan
CLARITO EUNICE LOVELLE,EAST Ave. Medical Center,nan
CO GLORIA,TMC Gateway,nan
CORPUZ- SEMANA JAMIE,Fairview Hi- Precision,nan
CORRALES FLORO,Corrales Med. Clinic,nan
CORRALES JOY,Corrales Med. Clinic,nan
CUNANAN ROMULO,Lablife Med. And Diagnostic Center,nan
CUSTODIO MYLA,Philippine Heart Center of the Philippines,nan
DAMPIL ALLAN OLIVER,St. Lukes Medical Center,nan
DANIEGA DES,FEU/Marian Medical Center,nan
DAYRIT RHEA,TMC Cyberpark,nan
DEGUZMAN SHARON,Quezon Institute,nan
DEL ROSAIO RACHEL,Diliman Doctors Hospital,nan
DEL ROSARIO  LAURA,Caritas Health Shiled E. Rod,nan
DELA PAZ CECILIA,EAST Ave. Medical Center,nan
DELA PENA PETE,EAST Ave. Medical Center,nan
DELALAMON MARC NIKOLAI,World Citi Medical Center,nan
DELEON SONIA,Madrid Polyclinic,nan
DELEON JERICHO,FEU/Marian Medical Center,nan
DEMERRE ERLYN,St. Lukes Medical Center,nan
DIZON ROSALINDA,Diliman Doctors Hospital,nan
DOLORES ERWIN,TMC Gateway,nan
DURAN SAMUEL,FEU/Marian Medical Center,nan
ERAZMO RACEME,Philippine Heart Center of the Philippines,nan
ESCRITOR MYLENE,TMC Gateway,nan
ESGUERRA ACHILLES,Diliman Doctors Hospital,nan
ESPOSO EVELYN,Megacenter Diagnostic,nan
ESTACIO  NIMFA,Estacio Med. Clinic,nan
ESTEPA LYLIBEL VICTORIA,FEU/Marian Medical Center,nan
EVANGELISTA NEMMA,FEU/Marian Medical Center,nan
FALLER THERESA MARIE,World Citi Medical Center,nan
FERNANDEZ CELINE DENISE,World Citi Medical Center,nan
FERROLINO  ARTHUR,Philippine Heart Center of the Philippines,nan
FLOREN  KAREN GAIL,Diliman Doctors Hospital,nan
FLORES BARBARA AMITY,FEU/Marian Medical Center,nan
FORTUNO AGAPITO,Philippine Heart Center of the Philippines,nan
FREMAN CEREZO,ACE Diagnostic Center,nan
FRESNOZA JACQUELINE,TMC Trinoma,nan
GARCIA JOSEPH,TMC Gateway,nan
GARGALICANA ZELLE,EAST Ave. Medical Center,nan
GERONA LEDGE,FEU/Marian Medical Center,nan
GLORIFE SAURE,Camp Gen. Emillio Aguinaldo,nan
GUILLERMO KENT,EAST Ave. Medical Center,nan
HECTOR DIOISIO,UP Betterhealth Center,nan
HO JAMES,Philippine Heart Center of the Philippines,nan
IMPERIAL DENNIS,SSS East Ave,nan
INES MALOU,FEU/Marian Medical Center,nan
JACOBA YSIS,Fairview Hi- Precision,nan
JASARENO RHODORA,Westview Specilaty Clinic,nan
JASUL GABRIEL,St. Lukes Medical Center,nan
JAVELOSA RANULFO,Philippine Heart Center of the Philippines,nan
JURADO ALLEN,St. Rupert Medical Clinic,nan
KUHN LISA ANGELICA,Diliman Doctors Hospital,nan
LAIGO ALBERT ALLEN,Madrid Polyclinic,nan
LAWRENCE RAYMOND,Lung Center of the Philippines,nan
LI RALPH JASON,World Citi Medical Center,nan
LICUP DIANNA,Bautista Medical Clinic,nan
LIM ROSARIO,Aventus Med. Clinic,nan
LINGA ROWENA,FEU/Marian Medical Center,nan
LIU  LI CHING,FEU/Marian Medical Center,nan
LONTOC ANTHONY,Philippine Heart Center of the Philippines,nan
MACALINTAL LUALHATI,Quezon Institute,nan
MACAPUGAY LEORA,Diliman Doctors Hospital,nan
MAGALLANES GHALSWENDY,Diliman Doctors Hospital,nan
MAGBOJOS ADRIAN LEVIE,Bautista Medical Clinic,nan
MAGNO MARIE,Lung Center of the Philippines,nan
MALILAY ARLENE,TMC Trinoma,nan
MALUNDO JOHN,Well of Life Medical Specialist,nan
MANGAHAS MARGARITA YSABEL,EAST Ave. Medical Center,nan
MANGASER ARLENE,Clinica Caritas,nan
MANINGAS DON,FEU/Marian Medical Center,nan
MANUEL ROLANDO,Philippine Heart Center of the Philippines,nan
MANUEL JAMES,EAST Ave. Medical Center,nan
MARASIGAN ELFINA,FEU/Marian Medical Center,nan
MARTIN GERARD,World Citi Medical Center,nan
MERCADO EFRAINE,World Citi Medical Center,nan
MILADY MAGALLONES,UP Betterhealth Center,nan
MONTES CRISTINA,Diliman Doctors Hospital,nan
MORA RAYMOND,World Citi Medical Center,nan
MORALES MEDEL,SSS East Ave,nan
NERI REYNALDO,St. Lukes Medical Center,nan
NG JENNIFER LOURDES,St. Lukes Medical Center,nan
NOVALES AARON,Westview Specilaty Clinic,nan
OCAMPO FAYE,FEU/Marian Medical Center,nan
ONG NELSON BRYAN,Lung Center of the Philippines,nan
ONG- CABRERA GLYNNA,Lung Center of the Philippines,nan
ONGJOCO EDGAR,Madrid Polyclinic,nan
ONILLA JILLIAN,East Ave Hi-Precision,nan
ORDONEZ ROLANDO,World Citi Medical Center,nan
ORDONEZ MIGUEL,World Citi Medical Center,nan
ORTIZ LILIA,World Citi Medical Center,nan
PABAYO VICTORINA,TMC Cyberpark,nan
PAJANEL MARGARETTE,EAST Ave. Medical Center,nan
PANAGA IRMA,FEU/Marian Medical Center,nan
PANGAIBAT ALIZA,UP Betterhealth Center,nan
PANGANIBAN RHANDY,Philippine Heart Center of the Philippines,nan
PANTIG MIGUEL SEBASTIAN,EAST Ave. Medical Center,nan
PEREZ GRACE,GPE Medical Clinic,nan
PUA EMMET VI,Philippine Heart Center of the Philippines,nan
PUTONG ROBERTO,SSS East Ave,nan
QUETURAS MY LADY ROSE,World Citi Medical Center,nan
QUIRIT ALLEN,World Citi Medical Center,nan
QUIWA LESLIE,EAST Ave. Medical Center,nan
QUIZON LENDRY,TMC Trinoma,nan
RAMIREZ MARK AUSTIN,World Citi Medical Center,nan
RAMIREZ FLORDELIZA,Diliman Doctors Hospital,nan
RAMOS MARK JEREMY,FEU/Marian Medical Center,nan
RAMOS PAULINE,TMC Cyberpark,nan
RAMOS MARJORIE,FEU/Marian Medical Center,nan
RAMOS KEVIN,Philippine Heart Center of the Philippines,nan
RAOUL FELIPE,EAST Ave. Medical Center,nan
RAYMUNDO LORJIE,Almonte Medical Clinic,nan
REBULLIDA SALVADOR PEDRO,Philippine Heart Center of the Philippines,nan
REYES RENE,Megacenter Diagnostic,nan
RIVERA CEFERINO,Gen. Miguel Malvar Hospital,nan
ROMANO ARNEL,TMC Cyberpark,nan
RONAN MADELYN GRACE,Diliman Doctors Hospital,nan
ROXAS GINA,FEU/Marian Medical Center,nan
RUSTIA JOSEPHINE,Megacenter Diagnostic,nan
SADAYA GENEVIEVE,UP Betterhealth Center,nan
SALA- ONG  ANGELA,Diliman Doctors Hospital,nan
SALAS BELINDA,Holy Angel Clinic,nan
SALI ELSHAD,EAST Ave. Medical Center,nan
SAMANIEGO ARLETTE,FEU/Marian Medical Center,nan
SAMSODIN NAJRIAH,EAST Ave. Medical Center,nan
SAN JOSE ARIANE JOMELLE,World Citi Medical Center,nan
SANTIAGO  ERIC HUGNES,Diliman Doctors Hospital,nan
SANTOS LAURENT,World Citi Medical Center,nan
SERRANO EFFROSE,World Citi Medical Center,nan
SEVILLEJA DAPHNE,World Citi Medical Center,nan
SIBAYAN MA. IDA CORAZON,Citimed Diagnostic Clinic,nan
SIBAYAN KURT,FEU/Marian Medical Center,nan
SOMBRETO AARON,Westview Specilaty Clinic,nan
SORREDA JAYSON,World Citi Medical Center,nan
SOSTENES PAUL GLER,EAST Ave. Medical Center,nan
STA. MARIA  FERNANDO,FEU/Marian Medical Center,nan
STA. MARIA JOCELYN,Megacenter Diagnostic,nan
SUBOL- CAMPOS CHERRIE NINA,Fairview Hi- Precision,nan
SUPE MYLA GLORIA,Philippine Heart Center of the Philippines,nan
TAGLE VIVIAN,SSS East Ave,nan
TAN REAGAN,Clinica Caritas,nan
TAN WINFIELD,Lung Center of the Philippines,nan
TAN TIN HAY LORA MAY,St. Lukes Medical Center,nan
TANG HERVIN DAMLER,Diliman Doctors Hospital,nan
TANHUECO SERGIO,EAST Ave. Medical Center,nan
TAPNIO MA. GEMMA,Camp Gen. Emillio Aguinaldo,nan
TE JR CAMILLO,Diliman Doctors Hospital,nan
TIGA DAISY,Well Served Medical Clinic,nan
TIN HAY EDUARDO,St. Lukes Medical Center,nan
TOLENTINO ELAINE,Gen. Miguel Malvar Hospital,nan
TUAZON ALEXANDER,Philippine Heart Center of the Philippines,nan
TUTAAN CARLOTA,East Ave Hi-Precision,nan
UBALDE BEN VICTOR,World Citi Medical Center,nan
UMALI REGINA,UP Betterhealth Center,nan
USMAN JERU,Philippine Heart Center of the Philippines,nan
VEGA LAMBERTO,FEU/Marian Medical Center,nan
VENCIO MELINDA,FEU/Marian Medical Center,nan
VICTORIANO ALEXANDER,World Citi Medical Center,nan
VICTORIANO ASUNCION,St. Lukes Medical Center,nan
VICTORIANO JR. NAPOLEON,St. Lukes Medical Center,nan
VILLANUEVA JOHANNA,Philippine Heart Center of the Philippines,nan
VILLANUEVA PAOLO,Philippine Heart Center of the Philippines,nan
VILLAPANDO LEDA,FEU/Marian Medical Center,nan
VILLAPANDO ANGELO,World Citi Medical Center,nan
VILLAREAL  KATHLEEN,Camp Gen. Emillio Aguinaldo,nan
YANGYANG ABEGAIL,EAST Ave. Medical Center,nan
YULO JUDY,Bautista Medical Clinic,nan
YUMUL KATHERINE,Diliman Doctors Hospital,nan
ABABA MILFE,CHRIST THE KING SPECIALISTS HOSPITAL,nan
ABOU ZAKI SHAFFIQ DEXTER,METRO DAVAO MEDICAL AND RESEARCH CENTER,nan
ACOSTA VIDA ROSE DANIELLE,METRO DAVAO MEDICAL AND RESEARCH CENTER,nan
ALAMPAYAN  MARY ANN,METRO DAVAO MEDICAL AND RESEARCH CENTER,nan
ALASTRA FERGUZ BOGDAN,BITOY POLYMEDIC HOSPITAL,nan
ALVE JAYSON,ALVE MEDICAL CLINIC,nan
ANDRES FLORENCIA,"MIGUEL O. CABRERA MEMORIAL HOSPITAL, INC.",nan
ANG ROSITO,MEDICAL MISSION GROUP HOSPITAL (DAVAO),nan
ANO-OS KATHERINE,METRO DAVAO MEDICAL AND RESEARCH CENTER,nan
ANSALDO NIKOLO,METRO DAVAO MEDICAL AND RESEARCH CENTER,nan
ANUTA MELDI,SAN PEDRO HOSPITAL,nan
AQUINO SUZETTE,AQUINO MEDICAL SPECIALIST HOSPITAL INC,nan
ARAO MA. CORAZON,SAN PEDRO HOSPITAL,nan
ARNAO SIVERO,ST. CAMILLUS HOSPITAL,nan
ARREOLA  ALLAN,DAVAO MEDICAL SCHOOL FOUNDATION,nan
ASIS CYRIL,BISHOP JOSEPH REAGAN MEMORIAL HOSPITAL,nan
AWIT KRIS KAREN,METRO DAVAO MEDICAL AND RESEARCH CENTER,nan
AYAAY LEONARDO,AYAAY MEDICAL CLINIC,nan
BABAO JERAN,NOT SPECIFIED,nan
BABAO JANICE,TAGUM MEDICAL CITY,nan
BACANI GERARD MAXIMILLAN,TAGUM MEDICAL CITY,nan
BAD-ANG MA. THERESA,DAVAO MEDICAL SCHOOL FOUNDATION,nan
BADILLA EDELYN,CHRIST THE KING SPECIALISTS HOSPITAL,nan
BAGARRA DAN,TAGUM DOCTORS  HOSPITAL,nan
BAGSIC MARY GRACE,BAGSIC MEDICAL CLINIC,nan
BALANI FELICISIMO,MEDICAL MISSION GROUP HOSPITAL (TAGUM),nan
BALINGIT  FELIPE,MEDICAL MISSION GROUP HOSPITAL (TAGUM),nan
BANDAYANON-LAMUDOC MAUREEN KYNDRA,PHSMB HEALTH CARE AND ABC,nan
BANGAYAN TOMMY,SAN PEDRO HOSPITAL,nan
BANICO RODELIE,METRO DAVAO MEDICAL AND RESEARCH CENTER,nan
BARBARA PANOPIO,NOT SPECIFIED,nan
BARETT MARIEVIEN,SOUTHERN PHILIPPINES MEDICAL CENTER,nan
BARRIENTOS  EARL IAN,METRO DAVAO MEDICAL AND RESEARCH CENTER,nan
BARUIZ CINDERRELA,NOT SPECIFIED,nan
BAUNDING RITCHEBELLE,METRO DAVAO MEDICAL AND RESEARCH CENTER,nan
BEBERO KATRINA,TAGUM MEDICAL CITY,nan
BELDUA CINDY,BUCAS CENTER TAGUM CITY,nan
BERCILLA ANALIE,TAGUM MEDICAL CITY,nan
BESAS FRANCIS,PERPETUAL POLYCLINIC,nan
BESTUDIO KATRINA,DEMAALA MEDICAL CLINIC,nan
BISNAR LUISA,SAN PEDRO HOSPITAL,nan
BITOY LAURENCE,BUCAS CENTER TAGUM CITY,nan
BORCELAS MON RAZZEL,BORCELAS MEDICAL CLINIC,nan
BOSQUIT JOHN,SAN PEDRO HOSPITAL,nan
BRAVO SHEILA,NOT SPECIFIED,nan
BRIGUEZ MARTELINO,COMMUNITY DOCTORS HOSPITAL,nan
BUYCO KARLA,NOT SPECIFIED,nan
CABAHUG REAGAN,SAN PEDRO HOSPITAL,nan
CACHUELA  JOSEPH,METRO DAVAO MEDICAL AND RESEARCH CENTER,nan
CAINGLET ALBERT RODERICK,CAINGLET MEDICAL CLINIC,nan
CAINGLET MARIKIT,CAINGLET MEDICAL CLINIC,nan
CAINGLET FELIX,CAINGLET MEDICAL CLINIC,nan
CAINGLET EILEEN,CAINGLET MEDICAL CLINIC,nan
CALAMBA MARRIE PAT,CALAMBA MEDICAL CLINIC,nan
CAMARILLO ED LEVI,MEDICAL MISSION GROUP HOSPITAL (TAGUM),nan
CAPOY MANUELITO,BISHOP JOSEPH REAGAN MEMORIAL HOSPITAL,nan
CAPUNO LESLIE,MEDICAL MISSION GROUP HOSPITAL (TAGUM),nan
CASUGA MARNELLIE,NOT SPECIFIED,nan
CATBAGAN NIDA,DAVAO ORIENTAL PROVINCIAL MEDICAL CENTER,nan
CATEDRAL SHARWIN MARIE,NOT SPECIFIED,nan
CEBALLOS WARREN,NOT SPECIFIED,nan
CHIONG KRISTINE MARIE,MEDICAL MISSION GROUP HOSPITAL (TAGUM),nan
CHIU ROWENA,METRO DAVAO MEDICAL AND RESEARCH CENTER,nan
CLET  CHRYSTELLER,TAGUM DOCTORS  HOSPITAL,nan
CORPUZ GLEN,CORPUZ MEDICAL CLINIC,nan
DACALOS  JOSEPH,DACALOS MEDICAL CLINIC,nan
DALAGUIT RHEJE,PERPETUAL POLYCLINIC,nan
DALANDAG BENDATU,METRO DAVAO MEDICAL AND RESEARCH CENTER,nan
DALMACIO  ELISA,TAGUM DOCTORS  HOSPITAL,nan
DANO KRISTIAN LAE,BUCAS CENTER TAGUM CITY,nan
DAVALOS JOSEPH RYAN,TAGUM GLOBAL HOSPITAL,nan
DAYANGHIRANG  CHONA,DAYANGHIRANG MEDICAL CLINIC,nan
DE BORJA J. GABRIEL,METRO DAVAO MEDICAL AND RESEARCH CENTER,nan
DE CASTRO DANZON JOHN,NOT SPECIFIED,nan
DEJAN MARY ANN,TAGUM DOCTORS  HOSPITAL,nan
DELA CRUZ JASMEN,TAGUM MEDICAL CITY,nan
DELOS REYES IVY,TAGUM MEDICAL CITY,nan
DEMAALA PHILIP NOLAN,DEMAALA MEDICAL CLINIC,nan
DEMAANDAL HENRY,NOT SPECIFIED,nan
DERLA ELIZABETH,TAGUM MEDICAL CITY,nan
DILANGALEN OMOHAIRE,SAN PEDRO HOSPITAL,nan
DOLIENTE EMILY ROSE,NOT SPECIFIED,nan
DUJALI DIZZA,MEDICAL MISSION GROUP HOSPITAL (TAGUM),nan
DUTERTE LORRAINE,PERPETUAL POLYCLINIC,nan
ELESEO MAE ANGELIE,BUCAS CENTER TAGUM CITY,nan
ELORDE RITAVILLE,METRO DAVAO MEDICAL AND RESEARCH CENTER,nan
ENOBIO  GEOFFREY,SOUTHERN PHILIPPINES MEDICAL CENTER,nan
ESPARAGOZA CALIXTO,TAGUM MEDICAL CITY,nan
EVANGELISTA MARY GRACE,TAGUM MEDICAL CITY,nan
FADERAN BERMILLON,METRO DAVAO MEDICAL AND RESEARCH CENTER,nan
FERNANDEZ MERLIN,ST. CAMILLUS HOSPITAL,nan
FERNANDO JOSEPH,TAGUM MEDICAL CITY,nan
FRANCO ARTEMIO,FRANCO CLINIC,nan
GAMPON ISIAH JEREMIAH,MEDICAL MISSION GROUP HOSPITAL (TAGUM),nan
GANA RAMIL,NOT SPECIFIED,nan
GARCIA MA. ANGELIE,PRUDENCIO MEDICAL CLINIC,nan
GARCIA IZA,METRO DAVAO MEDICAL AND RESEARCH CENTER,nan
GAVIOLA JESUS,MEDICAL MISSION GROUP HOSPITAL (TAGUM),nan
GAYARES FAITH KRISTINE,CHRIST THE KING SPECIALISTS HOSPITAL,nan
GAZMEN LEW IAN,MEDICAL MISSION GROUP HOSPITAL (TAGUM),nan
GENERIC 1 MD,GENERIC,0.0
GENERIC 10 MD,GENERIC,0.0
GENERIC 2 MD,GENERIC,0.0
GENERIC 3 MD,GENERIC,0.0
GENERIC 4 MD,GENERIC,0.0
GENERIC 5 MD,GENERIC,0.0
GENERIC 6 MD,GENERIC,0.0
GENERIC 7 MD,GENERIC,0.0
GENERIC 8 MD,GENERIC,0.0
GENERIC 9 MD,GENERIC,0.0
GERALDE JONAH SUZETTE,MEDICAL MISSION GROUP HOSPITAL (TAGUM),nan
GICANA CRISTINA,TAGUM MEDICAL CITY,nan
GO SHERWIN LOUIS,MEDICAL MISSION GROUP HOSPITAL (TAGUM),nan
GOMEZ PAUL,BUCAS CENTER TAGUM CITY,nan
GUERRERO MANOLETE,SAN PEDRO HOSPITAL,nan
GUILLANO FRANKLIN,TAGUM GLOBAL HOSPITAL,nan
GUILLERMO SYRIL,METRO DAVAO MEDICAL AND RESEARCH CENTER,nan
GUY DERECK AMIEL,NOVA TIERA CLINIC,nan
HERNAEZ-MANGAYAO KARLENE MAE,PHSMB HEALTH CARE AND ABC,nan
HIMAGAN JEANNIE,METRO DAVAO MEDICAL AND RESEARCH CENTER,nan
INOJALES TANYA RUTH,TAGUM DOCTORS  HOSPITAL,nan
JAMPAYAS SAMANTHA,MAWAB MEDICAL HOSPITAL,nan
JAYLO RICARLITO,JAYLO MEDICAL CLINIC,nan
JAYLO BLESSILDA,ST. CAMILLUS HOSPITAL,nan
JAYLO MA. SALUD,RIVERA MEDICAL CENTER,nan
JUSAY JOANNE MARIE,ST. CAMILLUS HOSPITAL,nan
KASILAG MAE,METRO DAVAO MEDICAL AND RESEARCH CENTER,nan
LAGANSON JAN RICHARD,DAVAO REGIONAL MEDICAL CENTER,nan
LAGMAY THELMA,MEDICAL MISSION GROUP HOSPITAL (TAGUM),nan
LANABAN AURA RHEA,METRO DAVAO MEDICAL AND RESEARCH CENTER,nan
LASCUNA CHIARA MAE,MEDICAL MISSION GROUP HOSPITAL (TAGUM),nan
LAYUG RODRIGO,LAYUG MEDICAL CLINIC,nan
LEGASPI  JEORGIE,PERPETUAL POLYCLINIC,nan
LEGASPI MA. VICTORIA,PERPETUAL POLYCLINIC,nan
LEONARDIA  HARVEY,LEONARDIA CLINIC,nan
LEONARDIA  CEASAR,LEONARDIA CLINIC,nan
LIGUID ARLENE,NOT SPECIFIED,nan
LLANES MARK RAMON VICTOR,METRO DAVAO MEDICAL AND RESEARCH CENTER,nan
LLANOS  ARYEEL,PERPETUAL POLYCLINIC,nan
LOMUGDA ARVIN,METRO DAVAO MEDICAL AND RESEARCH CENTER,nan
LOPEZ ERWIN,NOT SPECIFIED,nan
LOPEZ ERLYN,SOMOSO HOSPITAL,nan
LOREN   JOSE CARLO,METRO DAVAO MEDICAL AND RESEARCH CENTER,nan
LU RAYMUND,LU MEDICAL CLINIC,nan
LU  ROGER,LU MEDICAL CLINIC,nan
