Doctor Name,Address,PTR
AILEN BLUE TUAZON,nan,nan
ARMIN PERPUSE,nan,nan
ALEX JOE SANTOS,nan,nan
CATHERINE CARIAGA,nan,nan
ADORA PUNZALAN,nan,nan
SUSAN ORBE,nan,nan
RODRIGO PICO,nan,nan
DERICK HO,nan,nan
ZENAIDA ADRIANO,nan,nan
JOYLYNN GONZALES,nan,nan
EVELYN RAGOS,nan,nan
ARLENE DE JESUS,nan,nan
ALDWYN PAMPLONA,nan,nan
IMELDA TAN,nan,nan
DIANA TAN,nan,nan
PAUL JOHN ABLAZA,nan,nan
ANTHONY TAN,nan,nan
SHARMAINE TAN,nan,nan
JEORGINA TAN,nan,nan
JUDE GULANG,nan,nan
AILEEN JASON ZAGALA,nan,nan
DIZON ARCHIE,nan,nan
HANNAH COBARRUBIA,nan,nan
CHRISTINA MAGLEO,nan,nan
JASMIN RUBIO,nan,nan
MARY ANN LULU,nan,nan
ANALUZ GALANG,nan,nan
EUGENE ANICETO TONGOL,nan,nan
JAMES VINCENT LEGASPI,nan,nan
PATRICIA ANN GATUS,nan,nan
ELEAZOR VERA,nan,nan
FREDELYN ANDRES,nan,nan
ORPHA PATAWARAN,nan,nan
LETICIA FUENTABELLA,nan,nan
CHARLIE CHAN,nan,nan
ROLAND ALLAN TAN,nan,nan
RICARDO SALVADOR,nan,nan
ANTONIO TUMBOCON,nan,nan
ELIZABETH TUMBOCON,nan,nan
JOCELYN GALIZA,nan,nan
JONATHAN SY,nan,nan
EDWARD LIM,nan,nan
MICHELLE TAN,nan,nan
PAOLO DEMAPELIS,nan,nan
ERICK MENDOZA,nan,nan
MARY ANN SAYO,nan,nan
FLORENCE GAN,nan,nan
LIZETTE KRISTINE LOPEZ,nan,nan
JEZREEL SAHAGUN,nan,nan
SWEET GIRLIE TAPPAN,nan,nan
JEFFREY DELOS SANTOS,nan,nan
APRIL DELOS SANTOS,nan,nan
EDISON SO,nan,nan
MARI DES SAN JUAN,nan,nan
CECILLE DELA PAZ,nan,nan
ROMULO CUNANAN,nan,nan
SOHAILI LAGUINDAB,nan,nan
JONATHAN PACQUING,nan,nan
EDDELYN SALOMON,nan,nan
HARVEY AGUILAR,nan,nan
LOU ERIKA RUBION,nan,nan
JUAN PAOLO ABOSOLO,nan,nan
ADELLE MALIXI,nan,nan
FAITH CARATAO,nan,nan
CLARENCE AARON SY,nan,nan
ABEGAIL SAMBRANA,nan,nan
KATRINA SANCHEZ OBALLO,nan,nan
ANTONIO PESCADOR,nan,nan
ANNIE MARIE SARMIENTO,nan,nan
CARISSA MIRANO,nan,nan
KURT BRYAN TOLENTINO,nan,nan
JULIA YOUNG,nan,nan
SHIELA CAYABYAB,nan,nan
MARICAR BAUTISTA,nan,nan
LOUIE ALFRED SHIU,nan,nan
REYNALDO LAZO,nan,nan
JOHN REYNOLD QUEROBIN,nan,nan
BRYAN CARLO JALBUENA,nan,nan
PHILIP LAYNESA,nan,nan
MICEL DIZON,nan,nan
SONNY CRUZ,nan,nan
KEVIN RAMOS,nan,nan
LORA GRACE DELES,nan,nan
ROXANE BONGCAWIL,nan,nan
JEROME SIOSON,nan,nan
GERALDINE PON,nan,nan
ROY SASIL,nan,nan
FLAVIANO CABALLERO,nan,nan
JOSE  AGUIRRE,nan,nan
CRYSTAL FAYE LAGURA,nan,nan
KRISTINE TUMABIENE,nan,nan
ARCHIE APOSTOL,nan,nan
JELL PEREZ,nan,nan
SHEILA FARISHA MANGELEN,nan,nan
JURINA MACAILING,nan,nan
SITTI AYSHA IBA,nan,nan
KEVIN ELISEO,nan,nan
ELEANOR YEO,nan,nan
AIZA TAHIL,nan,nan
JULIAN JOSE ALEJANDRO OLGADO,nan,nan
CHRISTINA CHUA,nan,nan
MICHELLE CO,nan,nan
RICHARDSON LORILLA,nan,nan
PORSHIA NATIVIDAD,nan,nan
MANUEL MIGUEL BARNES,nan,nan
WINDON REYES,nan,nan
SYAMASUNDAR BRISTOL,nan,nan
JOSE ERNESTO ADEA,nan,nan
VINA PALMERO,nan,nan
GRETHEL LARDIZABAL,nan,nan
GLEIN SAYAT,nan,nan
AEDEN TIMBOL,nan,nan
ARVIN YUMUL,nan,nan
CHERISSE ANN PANLILIO,nan,nan
JANINE RANGEL,nan,nan
RACHEL MANALO,nan,nan
LARISSA MANAPAT,nan,nan
OLIVIA PAYAWAL,nan,nan
CELINA LUCERO,nan,nan
JOSE LORENZO DELA CRUZ,nan,nan
ABEGAIL FARINAS,nan,nan
KATHRYN RAMIREZ-PERALTA,nan,nan
EARL WENCESLAO,nan,nan
KARL JOSEPH CHAVEZ,nan,nan
JAY VINCENT CRESENCIO,nan,nan
FRANCES CLARISA ALCANTARA,nan,nan
FANNY UY,nan,nan
MATIAS APISTAR,nan,nan
DARLENE SY,nan,nan
JAN PATRICK NG,nan,nan
ADRIAN CO,nan,nan
VALERIE RAMIRO,nan,nan
JHYLL PANGAN,nan,nan
EDUARDO LEE JR,nan,nan
CHRISTINE RODRIGUEZ,nan,nan
ABIGAIL CHUA,nan,nan
MICHAEL MATIAS,nan,nan
ARTHUR PITARGUE,nan,nan
ANGELYKA FRANCISCO,nan,nan
JOSE DONATO MAGNO,nan,nan
MARIETTA ROMA,nan,nan
RAFAEL JOSE PERALTA,nan,nan
JOEL CANAS,nan,nan
MICHAEL ANGELO BRINEZ,nan,nan
DANCY RAYOS,nan,nan
VICTOR JOHN TORAL,nan,nan
CHARITO BERMUDEZ,nan,nan
GILBERT CADIENTE,nan,nan
CHERYL GRACE ADRIANO,nan,nan
ROSELLE POSO,nan,nan
MELISSA UY,nan,nan
MELCO TAN PEREZ,nan,nan
ROLLAN ALLAN TAN,nan,nan
JANE JELLY CALUAG,nan,nan
NOEMI PESTANIO,nan,nan
CECILEEN ANNE TUAZON,nan,nan
DIVINA GRACIA FRANCISCO,nan,nan
AMIEL PUBLICO,nan,nan
FELIX DE JESUS,nan,nan
WILSON YAMBALLA,nan,nan
GERDIE OBMERGA,nan,nan
CRISELDA BACOLOR,nan,nan
SHIRLEY SANCHEZ TIA,nan,nan
CYNTHIA OBILLOS,nan,nan
CATHERYN ROSE RUDINAS,nan,nan
SERRIE SUMINISTRADO,nan,nan
GRACE ARCEO,nan,nan
JOSEPH AARON CLAVIO,nan,nan
MARIFAY SAN DIEGO,nan,nan
MARITIZIE ERIBAL,nan,nan
ARCY ALEJANDRE,nan,nan
NADIA PABER,nan,nan
EDGARDO TOLENTINO,nan,nan
PIA CAMARA CHUA,nan,nan
MILDRED DELGADO,nan,nan
DIGNA PENA,nan,nan
GINA TECSON,nan,nan
ABDEL LUCMAN,nan,nan
MIGUELITO LASALA,nan,nan
PETER SY,nan,nan
JONAS TIENZO,nan,nan
GARI RECODO,nan,nan
JOSE TAN,nan,nan
WILMYR HABABAG,nan,nan
RONALD MAGBANUA,nan,nan
ALVIN JIMENEZ,nan,nan
CLARISSA LUCERO,nan,nan
TERESITA GAMUTAN,nan,nan
